# mN                       mu
  9.999999999999999452e-21 5.238444851942677506e-13
  3.162277660168379218e-20 5.238444851942677506e-13
  9.999999999999999752e-20 5.238444851942681545e-13
  3.162277660168379097e-19 5.238444851943087462e-13
  1.000000000000000072e-18 5.238444851983578114e-13
  3.162277660168379483e-18 5.238444856032803918e-13
  1.000000000000000072e-17 5.238445260973772657e-13
  3.162277660168379560e-17 5.238485941121544855e-13
  9.999999999999999791e-17 5.244556949999999674e-13
  1.047128548050898457e-16 5.246335219999999663e-13
  1.096478196143182884e-16 5.248748530000000429e-13
  1.148153621496883998e-16 5.252081629999999742e-13
  1.202264434617413087e-16 5.256785639999999684e-13
  1.258925411794166178e-16 5.263617729999999681e-13
  1.318256738556404849e-16 5.273975459999999793e-13
  1.380384264602880893e-16 5.290947370000000448e-13
  1.445439770745928055e-16 5.325478770000000101e-13
  1.513561248436207163e-16 1.000000000000000000e+00
  1.584893192461110854e-16 1.000000000000000000e+00
  4.816637831516916477e-08 1.000000000000000000e+00
  4.816637831516917801e-08 3.904684509999999835e-14
  4.816637831516919124e-08 1.000000000000000000e+00
  
